Run	AvgSpotLen	Bases	Organism	geo_loc_name_country	BioProject	Collection_date	Month	Library.Name	Location	collected_by
SRR17006827	192	697359	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-09-18	09	K026745	Gauteng	University of Pretoria
SRR17006828	210	523029	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-09-19	09	K026744	Gauteng	University of Pretoria
SRR17006831	438	54453018	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-09-20	09	K026741	Gauteng	University of Pretoria
SRR17006833	428	48414849	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-09-22	09	K026739	Gauteng	University of Pretoria
SRR17006853	413	89437284	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-09-22	09	K026699	Eastern Cape	National Health Laboratory service
SRR17014962	318	64421797	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-05	11	K027862	KwaZulu-Natal	National Health Laboratory Service
SRR17026798	332	75163147	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-21	10	K027312	KwaZulu-Natal	National Health Laboratory Service
SRR17006679	429	91628317	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-09-15	09	K026776	Gauteng	University of Pretoria
SRR17006684	425	133968665	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-09-15	09	K026771	Gauteng	University of Pretoria
SRR17006714	420	87603810	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-11	10	K026657	Eastern Cape	National Health Laboratory service
SRR17006743	423	42106289	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-06	10	K026587	KwaZulu-Natal	National Health Laboratory service
SRR17006767	416	83686241	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-09-22	09	K026712	Eastern Cape	National Health Laboratory service
SRR17006790	433	72123463	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-11	10	K026631	Eastern Cape	National Health Laboratory service
SRR17006792	415	12458531	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-12	10	K026629	Eastern Cape	National Health Laboratory service
SRR17006812	430	114259279	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-01	10	K026561	KwaZulu-Natal	National Health Laboratory service
SRR17006823	466	66997092	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-09-28	09	K026578	KwaZulu-Natal	National Health Laboratory service
SRR17014944	323	42181962	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-30	10	K027878	KwaZulu-Natal	National Health Laboratory Service
SRR17014955	261	34712596	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-08	11	K027868	KwaZulu-Natal	National Health Laboratory Service
SRR17014960	262	27937139	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-03	11	K027864	KwaZulu-Natal	National Health Laboratory Service
SRR17026800	302	30128230	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-20	10	K027310	KwaZulu-Natal	National Health Laboratory Service
SRR17051900	300	60888268	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA784038	2021-11-22	11	CERI-KRISP-K032253	Gauteng	National Health Laboratory Service
SRR17088909	324	112277331	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-19	11	K032258	KwaZulu-Natal	National Health Laboratory Service
SRR17090384	317	75208954	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-21	10	K027437	KwaZulu-Natal	National Health Laboratory Service
SRR17006656	432	65650770	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-09	10	K026607	KwaZulu-Natal	National Health Laboratory service
SRR17006770	419	85872381	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-09-22	09	K026709	Eastern Cape	National Health Laboratory service
SRR17006801	415	79139560	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-11	10	K026621	KwaZulu-Natal	National Health Laboratory service
SRR17006803	425	34728547	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-09-16	09	K026766	Gauteng	University of Pretoria
SRR17014965	294	42104737	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-03	11	K027859	KwaZulu-Natal	National Health Laboratory Service
SRR17026810	325	52346235	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-20	10	K027301	KwaZulu-Natal	National Health Laboratory Service
SRR17051944	300	69859347	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA784038	2021-11-22	11	CERI-KRISP-K032233	Gauteng	National Health Laboratory Service
SRR17051947	310	69956386	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA784038	2021-11-22	11	CERI-KRISP-K032231	Gauteng	National Health Laboratory Service
SRR17054505	332	47476134	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA784038	2021-11-23	11	CERI-KRISP-K032288	KwaZulu-Natal	National Health Laboratory Service
SRR17006729	418	144711487	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-07	10	K026643	Eastern Cape	National Health Laboratory service
SRR17014952	298	26085707	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-08	11	K027871	KwaZulu-Natal	National Health Laboratory Service
SRR17014953	276	22609807	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-07	11	K027870	KwaZulu-Natal	National Health Laboratory Service
SRR17014934	315	63617283	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-28	10	K027887	KwaZulu-Natal	National Health Laboratory Service
SRR17014958	293	27284462	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-08	11	K027848	KwaZulu-Natal	National Health Laboratory Service
SRR17051904	303	58164230	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA784038	2021-11-22	11	CERI-KRISP-K032249	Gauteng	National Health Laboratory Service
SRR17090376	323	41039000	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-22	10	K027453	Gauteng	National Health Laboratory Service
